Date,CPI,CPI_2021_Index
1963-09-01,30.72,9.076302083333333
1963-10-01,30.75,9.067447154471544
1963-11-01,30.78,9.058609486679662
1963-12-01,30.88,9.029274611398964
1964-01-01,30.94,9.011764705882353
1964-02-01,30.91,9.02051116143643
1964-03-01,30.94,9.011764705882353
1964-04-01,30.95,9.008852988691439
1964-05-01,30.98,9.000129115558424
1964-06-01,31.01,8.991422121896163
1964-07-01,31.02,8.988523533204384
1964-08-01,31.05,8.979838969404186
1964-09-01,31.08,8.971171171171171
1964-10-01,31.12,8.959640102827764
1964-11-01,31.21,8.933803268183274
1964-12-01,31.25,8.922368
1965-01-01,31.28,8.91381074168798
1965-02-01,31.28,8.91381074168798
1965-03-01,31.31,8.905269881826893
1965-04-01,31.38,8.88540471637986
1965-05-01,31.48,8.8571791613723
1965-06-01,31.61,8.820752926289149
1965-07-01,31.58,8.829132362254592
1965-08-01,31.55,8.837527733755943
1965-09-01,31.62,8.817963314358002
1965-10-01,31.65,8.80960505529226
1965-11-01,31.75,8.781858267716537
1965-12-01,31.85,8.754285714285714
1966-01-01,31.88,8.746047678795483
1966-02-01,32.08,8.691521197007482
1966-03-01,32.18,8.664512119328776
1966-04-01,32.28,8.637670384138787
1966-05-01,32.35,8.618979907264297
1966-06-01,32.38,8.61099444101297
1966-07-01,32.45,8.592419106317411
1966-08-01,32.65,8.53978560490046
1966-09-01,32.75,8.513709923664123
1966-10-01,32.85,8.48779299847793
1966-11-01,32.88,8.480048661800486
1966-12-01,32.92,8.469744835965978
1967-01-01,32.9,8.474893617021277
1967-02-01,33.0,8.449212121212122
1967-03-01,33.0,8.449212121212122
1967-04-01,33.1,8.423685800604229
1967-05-01,33.1,8.423685800604229
1967-06-01,33.3,8.373093093093095
1967-07-01,33.4,8.34802395209581
1967-08-01,33.5,8.32310447761194
1967-09-01,33.6,8.298333333333334
1967-10-01,33.7,8.273709198813057
1967-11-01,33.9,8.224896755162243
1967-12-01,34.0,8.200705882352942
1968-01-01,34.1,8.1766568914956
1968-02-01,34.2,8.152748538011696
1968-03-01,34.3,8.128979591836735
1968-04-01,34.4,8.105348837209304
1968-05-01,34.5,8.08185507246377
1968-06-01,34.7,8.035273775216139
1968-07-01,34.9,7.98922636103152
1968-08-01,35.0,7.9664
1968-09-01,35.1,7.9437037037037035
1968-10-01,35.3,7.8986968838526925
1968-11-01,35.4,7.876384180790961
1968-12-01,35.6,7.8321348314606745
1969-01-01,35.7,7.810196078431372
1969-02-01,35.8,7.788379888268158
1969-03-01,36.1,7.7236565096952905
1969-04-01,36.3,7.681101928374656
1969-05-01,36.4,7.660000000000001
1969-06-01,36.6,7.618142076502732
1969-07-01,36.8,7.576739130434784
1969-08-01,36.9,7.556205962059622
1969-09-01,37.1,7.515471698113208
1969-10-01,37.3,7.475174262734585
1969-11-01,37.5,7.435306666666667
1969-12-01,37.7,7.395862068965517
1970-01-01,37.9,7.356833773087072
1970-02-01,38.1,7.318215223097113
1970-03-01,38.3,7.280000000000001
1970-04-01,38.5,7.242181818181819
1970-05-01,38.6,7.223419689119171
1970-06-01,38.8,7.18618556701031
1970-07-01,38.9,7.167712082262211
1970-08-01,39.0,7.149333333333334
1970-09-01,39.2,7.112857142857143
1970-10-01,39.4,7.076751269035533
1970-11-01,39.6,7.041010101010101
1970-12-01,39.8,7.005628140703519
1971-01-01,39.9,6.988070175438597
1971-02-01,39.9,6.988070175438597
1971-03-01,40.0,6.9706
1971-04-01,40.1,6.953216957605985
1971-05-01,40.3,6.918709677419356
1971-06-01,40.5,6.884543209876544
1971-07-01,40.6,6.867586206896552
1971-08-01,40.7,6.8507125307125305
1971-09-01,40.8,6.833921568627452
1971-10-01,40.9,6.8172127139364305
1971-11-01,41.0,6.800585365853659
1971-12-01,41.1,6.784038929440389
1972-01-01,41.2,6.76757281553398
1972-02-01,41.4,6.734879227053141
1972-03-01,41.4,6.734879227053141
1972-04-01,41.5,6.718650602409639
1972-05-01,41.6,6.7025
1972-06-01,41.7,6.686426858513189
1972-07-01,41.8,6.67043062200957
1972-08-01,41.9,6.654510739856803
1972-09-01,42.1,6.622897862232779
1972-10-01,42.2,6.607203791469194
1972-11-01,42.4,6.576037735849057
1972-12-01,42.5,6.560564705882353
1973-01-01,42.7,6.52983606557377
1973-02-01,43.0,6.484279069767442
1973-03-01,43.4,6.424516129032258
1973-04-01,43.7,6.380411899313501
1973-05-01,43.9,6.351343963553531
1973-06-01,44.2,6.3082352941176465
1973-07-01,44.2,6.3082352941176465
1973-08-01,45.0,6.196088888888889
1973-09-01,45.2,6.168672566371681
1973-10-01,45.6,6.114561403508772
1973-11-01,45.9,6.074596949891068
1973-12-01,46.3,6.022116630669547
1974-01-01,46.8,5.957777777777778
1974-02-01,47.3,5.894799154334039
1974-03-01,47.8,5.8331380753138085
1974-04-01,48.1,5.796756756756757
1974-05-01,48.6,5.737119341563786
1974-06-01,49.0,5.690285714285714
1974-07-01,49.3,5.655659229208926
1974-08-01,49.9,5.587655310621243
1974-09-01,50.6,5.510355731225297
1974-10-01,51.0,5.467137254901961
1974-11-01,51.5,5.414058252427185
1974-12-01,51.9,5.37233140655106
1975-01-01,52.3,5.331242829827916
1975-02-01,52.6,5.3008365019011405
1975-03-01,52.8,5.280757575757576
1975-04-01,53.0,5.260830188679246
1975-05-01,53.1,5.250922787193974
1975-06-01,53.5,5.21166355140187
1975-07-01,54.0,5.163407407407408
1975-08-01,54.2,5.144354243542435
1975-09-01,54.6,5.1066666666666665
1975-10-01,54.9,5.078761384335155
1975-11-01,55.3,5.042025316455697
1975-12-01,55.6,5.014820143884892
1976-01-01,55.8,4.9968458781362015
1976-02-01,55.9,4.987906976744187
1976-03-01,56.0,4.979
1976-04-01,56.1,4.970124777183601
1976-05-01,56.4,4.943687943262412
1976-06-01,56.7,4.917530864197531
1976-07-01,57.0,4.891649122807018
1976-08-01,57.3,4.866038394415358
1976-09-01,57.6,4.840694444444445
1976-10-01,57.9,4.815613126079447
1976-11-01,58.1,4.799036144578313
1976-12-01,58.4,4.774383561643836
1977-01-01,58.7,4.7499829642248725
1977-02-01,59.3,4.701922428330523
1977-03-01,59.6,4.678255033557047
1977-04-01,60.0,4.6470666666666665
1977-05-01,60.2,4.631627906976744
1977-06-01,60.5,4.608661157024794
1977-07-01,60.8,4.585921052631579
1977-08-01,61.1,4.563404255319149
1977-09-01,61.3,4.548515497553018
1977-10-01,61.6,4.526363636363636
1977-11-01,62.0,4.497161290322581
1977-12-01,62.3,4.475505617977529
1978-01-01,62.7,4.446953748006379
1978-02-01,63.0,4.425777777777778
1978-03-01,63.4,4.3978548895899054
1978-04-01,63.9,4.3634428794992175
1978-05-01,64.5,4.322852713178294
1978-06-01,65.0,4.2896
1978-07-01,65.5,4.256854961832062
1978-08-01,65.9,4.231016691957511
1978-09-01,66.5,4.192842105263158
1978-10-01,67.1,4.155350223546946
1978-11-01,67.5,4.130725925925926
1978-12-01,67.9,4.106391752577319
1979-01-01,68.5,4.070423357664234
1979-02-01,69.2,4.029248554913295
1979-03-01,69.9,3.9888984263233187
1979-04-01,70.6,3.9493484419263463
1979-05-01,71.4,3.905098039215686
1979-06-01,72.2,3.8618282548476452
1979-07-01,73.0,3.8195068493150686
1979-08-01,73.7,3.7832293080054273
1979-09-01,74.4,3.7476344086021505
1979-10-01,75.2,3.7077659574468087
1979-11-01,76.0,3.6687368421052633
1979-12-01,76.9,3.6257997399219764
1980-01-01,78.0,3.574666666666667
1980-02-01,79.0,3.5294177215189877
1980-03-01,80.1,3.4809488139825224
1980-04-01,80.9,3.4465265760197776
1980-05-01,81.7,3.4127784577723377
1980-06-01,82.5,3.3796848484848487
1980-07-01,82.6,3.3755932203389833
1980-08-01,83.2,3.35125
1980-09-01,83.9,3.323289630512515
1980-10-01,84.7,3.2919008264462812
1980-11-01,85.6,3.2572897196261685
1980-12-01,86.4,3.2271296296296295
1981-01-01,87.2,3.1975229357798165
1981-02-01,88.0,3.1684545454545456
1981-03-01,88.6,3.146997742663657
1981-04-01,89.1,3.129337822671156
1981-05-01,89.7,3.108405797101449
1981-06-01,90.5,3.08092817679558
1981-07-01,91.5,3.047256830601093
1981-08-01,92.2,3.02412147505423
1981-09-01,93.1,2.994887218045113
1981-10-01,93.4,2.985267665952891
1981-11-01,93.8,2.972537313432836
1981-12-01,94.1,2.963060573857599
1982-01-01,94.4,2.9536440677966103
1982-02-01,94.7,2.94428722280887
1982-03-01,94.7,2.94428722280887
1982-04-01,95.0,2.934989473684211
1982-05-01,95.9,2.9074452554744523
1982-06-01,97.0,2.8744742268041237
1982-07-01,97.5,2.8597333333333332
1982-08-01,97.7,2.8538792221084957
1982-09-01,97.7,2.8538792221084957
1982-10-01,98.1,2.842242609582059
1982-11-01,98.0,2.845142857142857
1982-12-01,97.7,2.8538792221084957
1983-01-01,97.9,2.848049029622063
1983-02-01,98.0,2.845142857142857
1983-03-01,98.1,2.842242609582059
1983-04-01,98.8,2.822105263157895
1983-05-01,99.2,2.8107258064516127
1983-06-01,99.4,2.8050704225352114
1983-07-01,99.8,2.7938276553106216
1983-08-01,100.1,2.7854545454545456
1983-09-01,100.4,2.7771314741035855
1983-10-01,100.8,2.7661111111111114
1983-11-01,101.1,2.757903066271019
1983-12-01,101.4,2.7497435897435896
1984-01-01,102.1,2.730891283055828
1984-02-01,102.6,2.717582846003899
1984-03-01,102.9,2.709659863945578
1984-04-01,103.3,2.6991674733785094
1984-05-01,103.5,2.693951690821256
1984-06-01,103.7,2.6887560270009643
1984-07-01,104.1,2.678424591738713
1984-08-01,104.4,2.670727969348659
1984-09-01,104.7,2.663075453677173
1984-10-01,105.1,2.6529400570884873
1984-11-01,105.3,2.6479012345679016
1984-12-01,105.5,2.642881516587678
1985-01-01,105.7,2.637880794701987
1985-02-01,106.3,2.622991533396049
1985-03-01,106.8,2.6107116104868915
1985-04-01,107.0,2.605831775700935
1985-05-01,107.2,2.6009701492537314
1985-06-01,107.5,2.593711627906977
1985-07-01,107.7,2.588895078922934
1985-08-01,107.9,2.5840963855421686
1985-09-01,108.1,2.5793154486586496
1985-10-01,108.5,2.5698064516129033
1985-11-01,109.0,2.5580183486238535
1985-12-01,109.5,2.546337899543379
1986-01-01,109.9,2.5370700636942676
1986-02-01,109.7,2.5416955332725615
1986-03-01,109.1,2.555673693858845
1986-04-01,108.7,2.565078196872125
1986-05-01,109.0,2.5580183486238535
1986-06-01,109.4,2.548665447897623
1986-07-01,109.5,2.546337899543379
1986-08-01,109.6,2.544014598540146
1986-09-01,110.0,2.5347636363636363
1986-10-01,110.2,2.5301633393829404
1986-11-01,110.4,2.5255797101449273
1986-12-01,110.8,2.516462093862816
1987-01-01,111.4,2.5029084380610414
1987-02-01,111.8,2.4939534883720933
1987-03-01,112.2,2.4850623885918006
1987-04-01,112.7,2.4740372670807456
1987-05-01,113.0,2.4674690265486725
1987-06-01,113.5,2.4565991189427314
1987-07-01,113.8,2.4501230228471003
1987-08-01,114.3,2.4394050743657045
1987-09-01,114.7,2.4308979947689626
1987-10-01,115.0,2.4245565217391305
1987-11-01,115.4,2.416152512998267
1987-12-01,115.6,2.4119723183391004
1988-01-01,116.0,2.403655172413793
1988-02-01,116.2,2.3995180722891565
1988-03-01,116.5,2.3933390557939913
1988-04-01,117.2,2.379044368600683
1988-05-01,117.5,2.3729702127659578
1988-06-01,118.0,2.362915254237288
1988-07-01,118.5,2.352945147679325
1988-08-01,119.0,2.343058823529412
1988-09-01,119.5,2.333255230125523
1988-10-01,119.9,2.3254712260216848
1988-11-01,120.3,2.3177389858686617
